,height,weight,bmi_label,predict
214,0.98,0.55,thin,thin
215,0.6,0.6125,fat,fat
216,0.72,0.5875,normal,normal
217,0.605,0.55,fat,fat
218,0.635,0.8875,fat,fat
219,0.685,0.925,fat,fat
220,0.64,0.5375,fat,fat
221,0.865,0.7625,normal,normal
222,0.75,0.5625,normal,normal
223,0.655,0.6625,fat,fat
224,0.9,0.6375,thin,thin
225,0.96,1.0,normal,normal
226,0.805,0.4875,thin,thin
227,0.9,0.9875,normal,normal
228,0.64,0.6,fat,fat
229,0.82,0.475,thin,thin
230,0.84,0.6625,normal,normal
231,0.68,0.5,normal,normal
232,0.96,0.625,thin,thin
233,0.695,0.9125,fat,fat
234,1.0,0.725,thin,thin
235,0.675,0.575,fat,fat
236,0.91,0.8,normal,normal
237,0.665,0.4375,normal,normal
238,0.93,0.55,thin,thin
239,0.72,0.5625,normal,normal
240,0.9,0.7375,thin,thin
241,0.855,0.4875,thin,thin
242,0.705,0.65,fat,fat
243,0.615,0.975,fat,fat
244,0.705,0.9125,fat,fat
245,0.68,0.6125,fat,fat
246,0.92,0.8125,normal,normal
247,0.78,0.875,fat,fat
248,0.755,0.625,normal,normal
249,0.845,0.8,normal,normal
250,0.865,0.775,normal,normal
251,0.655,0.7625,fat,fat
252,0.725,0.875,fat,fat
253,0.795,0.525,thin,thin
254,0.915,0.9,normal,normal
255,0.975,0.825,thin,thin
256,0.75,0.6375,normal,normal
257,0.64,0.675,fat,fat
258,0.695,0.85,fat,fat
259,0.86,0.75,normal,normal
260,0.85,0.8625,normal,normal
261,0.98,0.6,thin,thin
262,0.9,0.875,normal,normal
263,0.89,0.725,thin,thin
264,0.68,0.575,normal,normal
265,0.6,0.7125,fat,fat
266,0.86,0.8,normal,normal
267,0.825,0.675,normal,normal
268,0.78,0.7875,fat,fat
269,0.68,0.4875,normal,normal
270,0.835,0.825,normal,normal
271,0.83,0.6625,normal,normal
272,0.68,0.8875,fat,fat
273,0.945,0.625,thin,thin
274,0.645,0.85,fat,fat
275,0.84,0.7,normal,normal
276,0.76,0.55,normal,normal
277,0.815,0.8125,normal,normal
278,0.82,0.95,fat,fat
279,0.765,0.625,normal,normal
280,0.755,0.55,normal,normal
281,0.915,0.475,thin,thin
282,0.655,0.575,fat,fat
283,0.77,0.7375,normal,normal
284,0.97,0.4625,thin,thin
285,0.715,0.6375,normal,normal
286,0.94,0.7875,thin,thin
287,0.805,1.0,fat,fat
288,0.765,0.8375,fat,fat
289,0.94,0.4625,thin,thin
290,0.635,0.5625,fat,fat
291,0.74,0.6875,fat,fat
292,0.845,0.475,thin,thin
293,0.8,0.6,normal,normal
294,0.94,0.7625,thin,thin
295,0.785,0.775,fat,fat
296,0.625,0.9875,fat,fat
297,0.955,0.65,thin,thin
298,0.63,0.65,fat,fat
299,0.73,1.0,fat,fat
300,0.79,0.9125,fat,fat
301,0.925,0.7,thin,thin
302,0.625,0.675,fat,fat
303,0.9,0.8375,normal,normal
304,0.985,0.4625,thin,thin
305,0.995,0.6625,thin,thin
306,0.665,0.675,fat,fat
307,0.72,0.7375,fat,fat
308,0.79,0.9875,fat,fat
309,0.815,1.0,fat,fat
310,0.625,0.775,fat,fat
311,0.745,0.775,fat,fat
312,0.95,0.7,thin,thin
313,0.99,0.7625,thin,thin
314,0.895,0.8625,normal,normal
315,0.82,0.9875,fat,fat
316,0.63,1.0,fat,fat
317,0.98,0.7625,thin,thin
318,0.725,0.4875,normal,normal
319,0.88,0.6625,thin,thin
320,0.605,0.9625,fat,fat
321,0.96,0.5375,thin,thin
322,0.805,0.9625,fat,fat
323,0.625,0.4375,normal,normal
324,0.62,0.95,fat,fat
325,0.675,0.95,fat,fat
326,0.625,0.5875,fat,fat
327,0.845,0.825,normal,normal
328,0.84,0.975,fat,fat
329,0.765,0.475,thin,thin
330,0.82,1.0,fat,fat
331,0.76,0.925,fat,fat
332,0.63,0.65,fat,fat
333,0.705,0.875,fat,fat
334,0.925,0.9125,normal,normal
335,0.615,0.8625,fat,fat
336,1.0,0.8625,thin,thin
337,0.74,0.7125,fat,fat
338,0.77,0.575,normal,normal
339,0.79,0.6,normal,normal
340,0.815,0.4875,thin,thin
341,0.71,0.7125,fat,fat
342,0.845,0.75,normal,normal
343,0.62,0.6125,fat,fat
344,0.87,0.475,thin,thin
345,0.97,0.45,thin,thin
346,0.79,0.5625,thin,thin
347,0.6,0.9375,fat,fat
348,0.98,0.5,thin,thin
349,0.62,0.975,fat,fat
350,0.62,0.45,normal,normal
351,0.86,0.5375,thin,thin
352,0.7,0.9,fat,fat
353,0.67,0.6125,fat,fat
354,1.0,0.8,thin,thin
355,0.795,0.475,thin,thin
356,0.81,0.9875,fat,fat
357,0.95,0.6375,thin,thin
358,0.935,0.575,thin,thin
359,0.71,0.825,fat,fat
360,0.715,0.9625,fat,fat
361,0.685,0.525,normal,normal
362,0.925,0.875,normal,normal
363,0.81,0.8375,fat,fat
364,0.685,0.775,fat,fat
365,0.64,0.55,fat,fat
366,0.87,0.9125,normal,normal
367,0.86,0.575,thin,thin
368,0.925,0.775,thin,thin
369,0.925,0.65,thin,thin
370,0.98,0.4875,thin,thin
371,0.91,0.85,normal,normal
372,0.695,0.8,fat,fat
373,0.865,0.55,thin,thin
374,0.785,0.575,normal,normal
375,0.7,0.55,normal,normal
376,0.88,0.6875,thin,thin
377,0.755,0.825,fat,fat
378,0.73,0.95,fat,fat
379,0.705,0.9625,fat,fat
380,0.635,0.7625,fat,fat
381,0.765,0.5125,thin,thin
382,0.685,0.7375,fat,fat
383,0.935,0.9125,normal,normal
384,0.965,0.65,thin,thin
385,0.83,0.6,thin,thin
386,0.885,0.8375,normal,normal
387,0.84,0.5,thin,thin
388,0.99,0.8625,thin,thin
389,0.73,0.6,normal,normal
390,0.735,0.9875,fat,fat
391,0.99,1.0,normal,normal
392,0.94,0.825,normal,normal
393,0.785,0.6375,normal,normal
394,0.605,0.8875,fat,fat
395,0.97,0.525,thin,thin
396,0.895,0.9875,normal,normal
397,0.945,0.675,thin,thin
398,0.76,0.575,normal,normal
399,0.89,0.7375,normal,normal
400,0.975,0.6375,thin,thin
401,0.695,0.8375,fat,fat
402,0.745,0.8125,fat,fat
403,0.895,0.6,thin,thin
404,0.675,0.4625,normal,normal
405,0.805,0.9625,fat,fat
406,0.665,0.6375,fat,fat
407,0.79,0.4375,thin,thin
408,0.66,0.6625,fat,fat
409,0.875,0.9125,normal,normal
410,0.66,0.5375,normal,normal
411,0.835,0.9,fat,fat
412,0.675,0.5875,fat,fat
413,0.68,0.6875,fat,fat
414,0.94,0.925,normal,normal
415,0.68,0.4375,normal,normal
416,0.745,0.7125,fat,fat
417,0.615,0.9125,fat,fat
418,0.615,0.5375,fat,fat
419,0.99,0.525,thin,thin
420,0.705,0.6375,fat,fat
421,0.97,0.7375,thin,thin
422,0.73,0.5375,normal,normal
423,0.98,0.55,thin,thin
424,0.62,0.5625,fat,fat
425,0.865,0.55,thin,thin
426,0.805,0.9625,fat,fat
427,0.795,0.4625,thin,thin
428,0.84,0.9625,fat,fat
429,0.915,0.6875,thin,thin
430,0.66,0.8,fat,fat
431,0.98,0.525,thin,thin
432,0.64,0.95,fat,fat
433,0.75,0.675,normal,normal
434,0.855,0.475,thin,thin
435,0.715,0.8375,fat,fat
436,0.745,0.8875,fat,fat
437,0.845,0.8625,normal,normal
438,0.625,0.8875,fat,fat
439,0.865,0.8625,normal,normal
440,0.955,0.7875,thin,thin
441,0.915,0.8875,normal,normal
442,0.805,0.6125,normal,normal
443,0.88,0.975,fat,fat
444,0.82,0.85,fat,fat
445,0.95,0.7125,thin,thin
446,0.7,0.45,thin,normal
447,0.63,0.8875,fat,fat
448,0.745,0.525,normal,normal
449,0.71,0.8875,fat,fat
450,0.825,0.9,fat,fat
451,0.83,0.6875,normal,normal
452,0.605,0.825,fat,fat
453,0.925,0.6625,thin,thin
454,0.985,0.625,thin,thin
455,0.64,0.9875,fat,fat
456,0.61,0.65,fat,fat
457,0.81,0.75,normal,normal
458,0.825,0.8625,fat,fat
459,0.73,0.7125,fat,fat
460,0.755,0.4875,thin,thin
461,0.935,0.6375,thin,thin
462,0.7,0.75,fat,fat
463,0.61,0.4625,normal,normal
464,0.64,0.4625,normal,normal
465,0.7,0.7625,fat,fat
466,0.7,0.65,fat,fat
467,0.98,0.8,thin,thin
468,0.615,0.675,fat,fat
469,0.68,0.6125,fat,fat
470,0.895,0.4625,thin,thin
471,0.84,0.675,normal,normal
472,0.77,0.925,fat,fat
473,0.86,0.5125,thin,thin
474,0.985,0.5625,thin,thin
475,0.885,0.8625,normal,normal
476,0.985,0.7,thin,thin
477,0.975,0.775,thin,thin
478,0.975,0.975,normal,normal
479,0.875,0.5375,thin,thin
480,0.77,0.6,normal,normal
481,0.865,0.9125,normal,normal
482,0.77,0.975,fat,fat
483,0.845,0.825,normal,normal
484,0.88,0.55,thin,thin
485,0.675,0.8875,fat,fat
486,0.65,0.85,fat,fat
487,0.725,0.7625,fat,fat
488,0.955,0.9625,normal,normal
489,0.6,0.55,fat,fat
490,0.68,0.475,normal,normal
491,0.9,0.85,normal,normal
492,0.885,0.9,normal,normal
493,0.69,0.775,fat,fat
494,0.885,0.8,normal,normal
495,0.97,0.525,thin,thin
496,0.94,0.7375,thin,thin
497,0.77,0.9375,fat,fat
498,0.915,0.5625,thin,thin
499,0.685,0.975,fat,fat
500,0.785,0.5125,thin,thin
501,0.92,0.525,thin,thin
502,0.705,0.5875,normal,normal
503,0.635,0.85,fat,fat
504,0.83,0.6875,normal,normal
505,0.86,0.7125,normal,normal
506,0.715,0.7125,fat,fat
507,0.955,0.8125,thin,thin
508,0.765,0.6375,normal,normal
509,0.845,0.8375,normal,normal
510,0.96,0.8875,normal,normal
511,0.775,0.6375,normal,normal
512,0.775,0.6,normal,normal
513,0.79,0.5625,thin,thin
514,0.65,0.825,fat,fat
515,0.75,0.7875,fat,fat
516,0.605,0.6625,fat,fat
517,0.89,0.575,thin,thin
518,0.98,0.875,thin,normal
519,0.94,0.65,thin,thin
520,0.87,0.9375,normal,normal
521,0.67,0.85,fat,fat
522,0.805,0.7125,normal,normal
523,0.61,0.775,fat,fat
524,0.835,0.9,fat,fat
525,0.93,0.625,thin,thin
526,0.7,0.6125,fat,normal
527,0.68,0.7625,fat,fat
528,1.0,0.725,thin,thin
529,0.995,0.45,thin,thin
530,0.875,0.7,thin,thin
531,0.725,0.8625,fat,fat
532,0.97,0.65,thin,thin
533,0.905,0.825,normal,normal
534,0.615,0.7625,fat,fat
535,0.675,0.5625,normal,normal
536,0.755,0.85,fat,fat
537,0.93,0.8125,normal,normal
538,0.925,0.5125,thin,thin
539,0.885,0.925,normal,normal
540,0.715,0.4875,normal,normal
541,0.675,0.8125,fat,fat
542,0.93,0.825,normal,normal
543,0.64,0.7375,fat,fat
544,0.74,0.8875,fat,fat
545,0.89,0.625,thin,thin
546,0.95,0.4625,thin,thin
547,0.825,0.5875,thin,thin
548,0.89,0.725,thin,thin
549,1.0,0.8875,thin,thin
550,0.645,0.6,fat,fat
551,0.86,0.475,thin,thin
552,0.635,0.875,fat,fat
553,0.64,0.5875,fat,fat
554,0.65,0.975,fat,fat
555,0.73,0.9,fat,fat
556,0.765,0.7,normal,normal
557,0.735,0.85,fat,fat
558,0.815,0.65,normal,normal
559,0.87,0.875,normal,normal
560,0.66,0.65,fat,fat
561,0.835,0.775,normal,normal
562,0.62,0.975,fat,fat
563,0.635,0.725,fat,fat
564,0.615,0.575,fat,fat
565,0.71,0.7625,fat,fat
566,0.835,0.8,normal,normal
567,0.85,0.875,normal,normal
568,0.805,0.5875,thin,thin
569,0.675,0.45,normal,normal
570,0.635,0.575,fat,fat
571,0.625,0.55,fat,fat
572,0.645,0.75,fat,fat
573,0.815,0.775,normal,normal
574,0.78,0.5,thin,thin
575,0.8,0.5875,thin,thin
576,0.89,0.7625,normal,normal
577,0.865,0.5125,thin,thin
578,0.74,0.875,fat,fat
579,0.885,0.7375,normal,normal
580,0.6,1.0,fat,fat
581,0.77,0.975,fat,fat
582,0.86,0.6625,thin,thin
583,0.7,0.9,fat,fat
584,0.7,0.575,normal,normal
585,0.88,0.475,thin,thin
586,0.775,0.6625,normal,normal
587,0.815,0.9375,fat,fat
588,0.785,0.6125,normal,normal
589,0.9,0.85,normal,normal
590,0.76,0.8375,fat,fat
591,0.645,0.7375,fat,fat
592,0.63,0.8875,fat,fat
593,0.86,0.8,normal,normal
594,0.795,0.65,normal,normal
595,0.62,0.45,normal,normal
596,0.67,0.75,fat,fat
597,0.715,0.75,fat,fat
598,0.98,0.675,thin,thin
599,0.6,0.9,fat,fat
600,0.675,0.5,normal,normal
601,0.785,0.8625,fat,fat
602,0.84,0.825,normal,normal
603,0.765,0.675,normal,normal
604,0.7,0.9625,fat,fat
605,0.77,0.7,normal,normal
606,0.805,0.9,fat,fat
607,0.93,0.8125,normal,normal
608,0.93,0.9875,normal,normal
609,0.885,0.575,thin,thin
610,0.705,0.8375,fat,fat
611,0.93,0.975,normal,normal
612,0.895,0.6625,thin,thin
613,0.73,0.4375,thin,thin
614,0.775,0.7875,fat,fat
615,0.83,0.4625,thin,thin
616,0.77,0.775,fat,fat
617,0.74,0.975,fat,fat
618,0.73,0.9,fat,fat
619,0.955,0.4375,thin,thin
620,0.8,0.7875,normal,normal
621,0.84,0.7875,normal,normal
622,0.725,0.6875,fat,fat
623,0.73,0.6,normal,normal
624,0.725,0.7375,fat,fat
625,0.83,0.475,thin,thin
626,0.665,0.8625,fat,fat
627,0.965,0.625,thin,thin
628,0.67,0.8,fat,fat
629,0.98,0.45,thin,thin
630,0.89,0.6,thin,thin
631,0.685,0.85,fat,fat
632,0.8,0.8375,fat,fat
633,0.765,0.95,fat,fat
634,0.95,0.6125,thin,thin
635,0.66,0.7375,fat,fat
636,0.705,0.8875,fat,fat
637,0.875,0.6,thin,thin
638,0.7,0.85,fat,fat
639,0.97,1.0,normal,normal
640,0.82,0.8125,normal,normal
641,0.87,0.475,thin,thin
642,0.815,0.975,fat,fat
643,0.625,0.6875,fat,fat
644,0.74,0.6375,normal,normal
645,0.675,0.6875,fat,fat
646,0.745,0.775,fat,fat
647,0.645,0.9625,fat,fat
648,0.8,0.9375,fat,fat
649,0.605,0.7125,fat,fat
650,0.93,0.9375,normal,normal
651,0.85,0.525,thin,thin
652,0.75,0.9125,fat,fat
653,0.93,0.9875,normal,normal
654,0.665,0.775,fat,fat
655,0.71,0.65,fat,fat
656,0.84,0.9375,fat,fat
657,0.885,0.8875,normal,normal
658,0.76,0.5625,normal,normal
659,0.745,0.45,thin,thin
660,0.845,0.4375,thin,thin
661,0.76,0.5625,normal,normal
662,0.715,0.625,normal,normal
663,0.885,0.75,normal,normal
664,0.75,0.5375,normal,normal
665,0.66,0.7125,fat,fat
666,0.775,0.9625,fat,fat
667,0.89,0.925,normal,normal
668,0.76,0.4375,thin,thin
669,0.935,0.65,thin,thin
670,0.81,0.4875,thin,thin
671,0.98,0.725,thin,thin
672,0.67,0.925,fat,fat
673,0.78,0.875,fat,fat
674,0.86,0.75,normal,normal
675,0.98,0.975,normal,normal
676,0.985,0.7125,thin,thin
677,0.805,0.4875,thin,thin
678,0.66,0.8375,fat,fat
679,0.705,0.925,fat,fat
680,0.95,1.0,normal,normal
681,0.885,0.8,normal,normal
682,0.66,0.625,fat,fat
683,0.665,0.675,fat,fat
684,0.865,0.875,normal,normal
685,0.795,0.95,fat,fat
686,0.82,0.975,fat,fat
687,0.925,0.6375,thin,thin
688,0.735,0.45,thin,thin
689,0.625,0.9875,fat,fat
690,0.765,0.7875,fat,fat
691,0.735,0.45,thin,thin
692,0.865,0.95,fat,fat
693,0.97,0.775,thin,thin
694,0.715,0.725,fat,fat
695,0.895,0.8875,normal,normal
696,0.76,0.5625,normal,normal
697,0.81,0.8375,fat,fat
698,0.69,0.4625,normal,normal
699,0.605,0.7875,fat,fat
700,0.62,0.8375,fat,fat
701,0.81,0.95,fat,fat
702,0.7,0.85,fat,fat
703,0.815,0.9125,fat,fat
704,0.645,0.55,fat,fat
705,0.93,1.0,normal,normal
706,0.62,0.975,fat,fat
707,0.735,0.5625,normal,normal
708,0.83,0.5,thin,thin
709,0.91,0.5875,thin,thin
710,0.81,0.5625,thin,thin
711,0.74,1.0,fat,fat
712,0.975,0.55,thin,thin
713,0.72,0.8125,fat,fat
714,0.625,0.95,fat,fat
715,0.715,0.8625,fat,fat
716,0.645,0.5125,normal,normal
717,0.965,0.7125,thin,thin
718,0.795,0.925,fat,fat
719,0.66,0.5625,fat,fat
720,0.735,0.9375,fat,fat
721,0.735,0.4875,thin,thin
722,0.955,0.7125,thin,thin
723,0.62,0.9875,fat,fat
724,0.645,0.8125,fat,fat
725,0.84,0.6125,thin,thin
726,0.835,0.7125,normal,normal
727,0.85,0.6125,thin,thin
728,0.68,0.575,normal,normal
729,0.68,0.925,fat,fat
730,0.815,0.925,fat,fat
731,0.7,0.65,fat,fat
732,0.91,0.825,normal,normal
733,0.79,0.825,fat,fat
734,0.76,0.9625,fat,fat
735,0.84,0.4375,thin,thin
736,0.935,0.625,thin,thin
737,0.945,0.65,thin,thin
738,0.83,0.6875,normal,normal
739,0.695,0.975,fat,fat
740,0.67,0.75,fat,fat
741,0.995,0.725,thin,thin
742,0.605,0.8375,fat,fat
743,0.85,0.85,normal,normal
744,0.91,0.7125,thin,thin
745,0.7,0.5,normal,normal
746,0.85,0.45,thin,thin
747,0.96,0.625,thin,thin
748,0.825,0.5,thin,thin
749,0.85,0.5875,thin,thin
750,0.995,1.0,normal,normal
751,0.74,0.9625,fat,fat
752,0.84,0.9,fat,fat
753,0.89,0.9125,normal,normal
754,0.775,0.775,fat,fat
755,0.935,0.8,thin,normal
756,0.91,0.925,normal,normal
757,0.85,0.625,thin,thin
758,0.715,0.9125,fat,fat
759,0.975,0.55,thin,thin
760,0.935,0.65,thin,thin
761,0.65,0.9625,fat,fat
762,0.785,0.825,fat,fat
763,0.62,0.6375,fat,fat
764,0.91,0.7125,thin,thin
765,0.6,0.6875,fat,fat
766,1.0,0.5875,thin,thin
767,0.805,0.8875,fat,fat
768,0.81,0.4875,thin,thin
769,0.655,0.9125,fat,fat
770,0.685,0.825,fat,fat
771,0.855,0.8625,normal,normal
772,0.65,0.675,fat,fat
773,0.89,0.4625,thin,thin
774,0.69,0.925,fat,fat
775,0.83,0.675,normal,normal
776,0.89,0.675,thin,thin
777,0.99,0.9125,normal,normal
778,0.94,0.625,thin,thin
779,0.995,0.8375,thin,thin
780,0.925,0.875,normal,normal
781,0.665,0.55,normal,normal
782,0.6,0.575,fat,fat
783,0.825,0.8,normal,normal
784,0.975,0.6875,thin,thin
785,0.845,0.5375,thin,thin
786,0.905,0.6375,thin,thin
787,0.955,0.7125,thin,thin
788,0.605,0.525,fat,fat
789,0.95,0.6,thin,thin
790,0.6,0.6625,fat,fat
791,0.91,0.65,thin,thin
792,0.87,0.8625,normal,normal
793,0.735,0.85,fat,fat
794,0.845,0.575,thin,thin
795,0.68,0.975,fat,fat
796,0.95,0.7875,thin,thin
797,0.665,0.775,fat,fat
798,0.98,0.775,thin,thin
799,0.825,0.7,normal,normal
800,0.61,0.9875,fat,fat
801,0.64,0.95,fat,fat
802,0.78,0.7375,normal,normal
803,0.71,0.9875,fat,fat
804,0.965,0.4625,thin,thin
805,0.88,0.825,normal,normal
806,0.745,0.6125,normal,normal
807,0.905,0.7375,thin,thin
808,0.88,0.775,normal,normal
809,0.765,0.6125,normal,normal
810,0.92,0.45,thin,thin
811,0.68,0.8,fat,fat
812,0.675,0.825,fat,fat
813,0.965,0.45,thin,thin
814,0.645,0.725,fat,fat
815,0.685,0.9875,fat,fat
816,0.695,0.675,fat,fat
817,0.66,0.4375,normal,normal
818,0.94,0.8875,normal,normal
819,0.92,0.6625,thin,thin
820,0.89,0.95,normal,normal
821,0.89,0.7625,normal,normal
822,0.765,0.5875,normal,normal
823,0.72,0.775,fat,fat
824,1.0,0.475,thin,thin
825,0.97,0.5125,thin,thin
826,0.77,0.5625,normal,normal
827,0.705,0.7875,fat,fat
828,0.78,0.4375,thin,thin
829,0.625,0.475,normal,normal
830,0.99,0.475,thin,thin
831,0.725,0.725,fat,fat
832,0.9,0.55,thin,thin
833,0.975,1.0,normal,normal
834,0.63,0.8375,fat,fat
835,0.8,0.875,fat,fat
836,0.705,0.475,normal,normal
837,1.0,0.875,thin,thin
838,0.89,0.9125,normal,normal
839,0.78,1.0,fat,fat
840,0.7,0.6625,fat,fat
841,0.82,0.575,thin,thin
842,0.815,0.5125,thin,thin
843,0.6,0.875,fat,fat
844,0.865,0.6875,thin,thin
845,0.6,0.8125,fat,fat
846,0.695,0.975,fat,fat
