,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category,Route_enco,Oppt_enco,Cmpt_enco
46410,5913693,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,71,Loss,7,45,45,150000,5,1,0,Known,0.409396,0.33557,0.25503400000000004,5,0,0,0
46411,5913720,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,3,40,40,100000,4,1,0,Unknown,0.39,0.61,0.0,5,0,0,2
46418,5917040,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,3,1,1,15031,2,1,0,Unknown,0.0,1.0,0.0,2,2,1,2
46454,5930349,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,3,36,36,150000,4,5,0,Known,0.158774,0.841226,0.0,5,0,0,0
46456,5930431,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,5,40,40,150000,5,1,0,Known,0.105528,0.266332,0.628141,5,0,0,0
46554,5973418,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,8,55,55,59000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
46622,5988655,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,4,41,41,70000,1,2,0,Unknown,0.046229,0.953771,0.0,4,0,0,2
46647,5995401,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,3,37,37,300000,1,5,4,Known,0.406417,0.593583,0.0,6,0,0,0
46759,6024253,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,23,Won,3,5,5,20000,3,3,0,Unknown,0.0,1.0,0.0,2,2,1,2
46778,6027554,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,33,33,100001,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
46796,6031888,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,76,Loss,4,47,47,100000,1,1,0,Known,0.1,0.155319,0.744681,5,0,0,0
46943,6062530,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Loss,2,31,31,350000,1,1,0,Known,0.0,1.0,0.0,6,0,0,0
46946,6062771,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,72,Loss,9,31,31,30000,3,3,0,Known,0.121795,0.121795,0.75641,3,2,0,0
46987,6074408,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,3,2,2,24000,3,2,0,Unknown,0.0,1.0,0.0,2,2,1,2
46996,6076621,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,4,3,3,15000,3,2,0,Unknown,0.0,1.0,0.0,2,2,1,2
47052,6091596,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,2,34,34,70000,4,1,0,Known,0.0,1.0,0.0,4,0,0,0
47122,6103740,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,6,38,38,101000,5,3,0,Unknown,0.0,0.575198,0.4248020000000001,5,0,0,2
47164,6115102,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,3,0,0,12900,1,1,0,Unknown,0.0,1.0,0.0,2,2,1,2
47238,6130452,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,68,Loss,4,51,51,100000,1,1,0,None,0.0,1.0,0.0,5,0,0,1
47239,6130472,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,5,16,16,20000,2,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
47250,6130784,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Loss,4,28,28,20000,1,1,0,Known,0.528169,0.014085,0.457746,2,0,0,0
47271,6136949,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,7,9,9,30000,1,5,0,Known,0.22093,0.186047,0.593023,3,0,0,0
47310,6147887,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,3,34,34,55000,4,4,0,Unknown,0.071642,0.928358,0.0,4,0,0,2
47321,6148577,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,88,Loss,6,15,15,16000,1,1,0,Unknown,0.0,0.986207,0.013793,2,2,0,2
47402,6173006,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,2,35,35,70000,3,2,0,Known,0.0,1.0,0.0,4,0,0,0
47421,6176992,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,6,31,7,10400,1,5,0,Known,0.0,0.0,0.216393,2,0,0,0
47460,6190284,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,3,29,29,80000,3,4,0,Unknown,0.520408,0.479592,0.0,4,0,0,2
47482,6196760,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,54,54,55000,2,1,0,Known,0.0,1.0,0.0,4,2,0,0
47570,6214953,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,75,Loss,6,39,39,30000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
47571,6214981,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,82,Loss,6,33,33,10000,5,2,0,Unknown,0.009009,0.990991,0.0,2,2,0,2
47586,6215768,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,85,Loss,6,29,29,10000,1,2,0,Unknown,0.089041,0.910959,0.0,2,2,0,2
47594,6221383,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,4,2,1,12000,3,1,0,None,0.0,0.0,0.5,2,2,1,1
47640,6228595,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Loss,4,25,25,20000,3,5,0,Unknown,0.0,0.6477729999999999,0.352227,2,0,0,2
47642,6228674,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,3,11,11,10000,2,1,0,Unknown,0.0,1.0,0.0,2,2,1,2
47770,6249432,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,3,52,52,40000,1,3,4,Unknown,0.0,0.001942,0.998058,3,2,0,2
47824,6256040,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,6,23,23,250000,1,5,0,Unknown,0.094017,0.431624,0.474359,6,0,0,2
47912,6272982,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,4,23,19,70000,1,5,4,Known,0.0,0.0,0.845133,4,0,0,0
47976,6280800,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,5,26,26,200000,1,5,0,Known,0.371212,0.05303,0.575758,5,0,0,0
48025,6291126,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,92,Won,3,20,20,25000,2,3,0,Unknown,0.0,0.004902,0.995098,3,2,1,2
48031,6291532,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,3,5,5,7000,3,3,0,Unknown,0.0,1.0,0.0,1,2,1,2
48041,6295282,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,88,Loss,3,0,0,40000,3,2,0,Unknown,0.0,1.0,0.0,3,2,0,2
48076,6301992,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,5,41,41,25000,1,1,0,Unknown,0.0,0.0073170000000000015,0.992683,3,2,0,2
48105,6305558,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,3,31,31,60000,2,3,0,Known,0.0,0.0,1.0,4,0,0,0
48108,6305730,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,6,24,24,70000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
48115,6308692,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,4,18,18,70000,3,4,0,Unknown,0.0,1.0,0.0,4,2,0,2
48163,6316075,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,91,Loss,5,20,20,25000,1,1,0,Unknown,0.0,0.009852,0.990148,3,2,0,2
48172,6316622,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,4,49,49,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
48184,6319424,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,7,39,39,65000,3,2,0,Unknown,0.069948,0.930052,0.0,4,2,0,2
48249,6331092,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,4,48,48,55000,1,4,0,Unknown,0.043478,0.26294,0.6935819999999999,4,2,0,2
48328,6345345,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,4,44,44,45000,3,4,0,Known,0.0,0.939189,0.060811,3,2,0,0
48361,6352661,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,5,24,24,500000,1,1,0,Known,0.076596,0.5659569999999999,0.357447,7,0,0,0
48444,6361118,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Loss,3,20,20,55000,3,5,0,Known,0.315271,0.684729,0.0,4,0,0,0
48478,6364893,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Loss,2,20,20,20000,2,1,0,Unknown,0.0,1.0,0.0,2,0,0,2
48541,6373266,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,17,17,50000,1,1,0,Unknown,0.0,0.606061,0.393939,4,0,1,2
48625,6384489,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,2,23,23,30000,1,1,0,Known,0.0,1.0,0.0,3,0,0,0
48641,6387323,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Loss,7,56,56,100000,1,1,0,Unknown,0.06463200000000001,0.935368,0.0,5,2,0,2
48668,6393979,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,18,18,50000,3,2,0,Known,0.0,1.0,0.0,4,0,0,0
48679,6394609,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,3,35,35,70000,4,4,0,Unknown,0.127168,0.8728319999999999,0.0,4,0,0,2
48724,6401214,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,2,23,23,130000,3,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
48729,6403354,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,4,42,42,45000,2,2,0,Unknown,0.214286,0.785714,0.0,3,2,0,2
48730,6403412,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,11,32,31,45000,1,3,0,Unknown,0.0,0.811146,0.136223,3,2,0,2
48791,6410713,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,3,21,21,350000,4,5,0,Known,0.302439,0.697561,0.0,6,0,0,0
48801,6414372,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Loss,4,17,17,60000,2,5,0,Unknown,0.327381,0.220238,0.452381,4,0,0,2
48833,6420330,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,2,23,23,10000,2,2,0,Unknown,0.0,1.0,0.0,2,2,0,2
48857,6423383,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,2,20,20,25000,2,2,0,Unknown,0.0,1.0,0.0,3,0,0,2
49147,6495435,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,3,41,41,20000,2,1,0,Known,0.950617,0.049383,0.0,2,0,0,0
49185,6500911,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,11,7,92000,1,1,2,Unknown,0.0,0.0,0.575221,4,0,1,2
49211,6503390,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,3,37,37,5000,3,4,0,Unknown,0.0,0.002674,0.997326,1,2,0,2
49220,6503701,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,13,13,60000,2,1,0,Known,0.0,1.0,0.0,4,0,0,0
49231,6504157,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,3,23,23,150000,1,1,0,Known,0.0,0.008889,0.991111,5,0,0,0
49316,6515248,Batteries & Accessories,Car Accessories,Mid-Atlantic,Telesales,28,Loss,5,75,75,125000,2,1,0,Unknown,0.003989,0.696809,0.299202,5,4,0,2
49328,6517747,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,2,37,37,45000,2,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
49346,6518154,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,44,Loss,5,49,49,110000,1,5,4,Unknown,0.4582479999999999,0.541752,0.0,5,0,0,2
49355,6518519,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,2,16,16,15000,1,2,0,Unknown,0.0,1.0,0.0,2,0,0,2
49380,6521611,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,74,Loss,4,29,29,8000,1,1,0,Unknown,0.0,0.763066,0.236934,1,2,0,2
49384,6521689,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,2,38,38,100000,1,1,0,Known,0.0,1.0,0.0,5,0,0,0
49389,6521857,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Won,5,9,8,40000,1,4,0,Known,0.0,0.077778,0.777778,3,0,1,0
49473,6530711,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,3,24,24,70000,3,1,0,Known,0.8516950000000001,0.148305,0.0,4,0,0,0
49507,6534573,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,3,17,17,20000,5,4,0,Known,0.017963999999999997,0.0,0.982036,2,0,0,0
49537,6538090,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,66,Loss,4,11,11,250000,3,5,0,Unknown,0.00885,0.99115,0.0,6,0,0,2
49540,6538120,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,25,Loss,6,77,77,200000,3,5,0,Unknown,0.001299,0.325974,0.6727270000000001,5,0,0,2
49609,6546028,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,4,21,21,100000,1,5,4,Known,0.0,0.7169810000000001,0.283019,5,0,0,0
49610,6546042,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,4,21,21,250000,1,5,4,Known,0.0,0.7169810000000001,0.283019,6,0,0,0
49611,6546045,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,2,21,21,100000,1,5,0,Unknown,0.0,1.0,0.0,5,0,0,2
49612,6546063,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,2,19,19,250000,1,5,0,Known,0.0,1.0,0.0,6,0,0,0
49696,6553576,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,82,Loss,3,19,19,150000,1,5,0,Known,0.020725,0.979275,0.0,5,0,0,0
49705,6553797,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,72,Loss,2,30,30,100000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
49728,6557028,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Won,5,16,15,26408,1,4,0,None,0.0,0.093168,0.819876,3,0,1,1
49730,6557035,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Loss,2,12,12,200000,1,5,0,Known,0.0,1.0,0.0,5,0,0,0
49768,6561095,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,3,18,18,70000,1,1,0,Known,0.071823,0.928177,0.0,4,0,0,0
49771,6561127,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,4,11,9,44000,1,1,0,Unknown,0.7964600000000001,0.0,0.0,3,0,0,2
49781,6561464,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,11,11,300000,4,5,0,Known,0.0,1.0,0.0,6,0,0,0
49896,6573782,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,7,16,12,30000,1,2,0,Known,0.070064,0.407643,0.267516,3,0,0,0
49967,6579718,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,87,Loss,3,14,14,60000,3,3,0,Unknown,0.043165,0.956835,0.0,4,0,0,2
50017,6587507,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Loss,2,11,11,100000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
50030,6587912,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Loss,2,11,11,100000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
50039,6588042,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,6,19,19,100000,1,3,0,Unknown,0.0,0.664921,0.335079,5,0,0,2
50050,6590081,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,4,35,35,5000,2,1,0,Unknown,0.0,0.711429,0.288571,1,2,0,2
50071,6593073,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,2,0,0,38000,1,1,0,Unknown,0.0,0.0,0.0,3,2,1,2
50124,6594268,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Won,4,8,8,42000,3,3,0,None,0.0,0.0875,0.9125,3,0,1,1
50136,6596980,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,9,9,30000,1,3,0,Unknown,0.0,1.0,0.0,3,0,0,2
50150,6597592,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,3,9,9,150000,1,4,4,Unknown,1.0,0.0,0.0,5,0,0,2
50184,6601708,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,38,38,35000,2,4,0,Unknown,0.0,1.0,0.0,3,2,0,2
50234,6607432,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Won,6,5,5,25000,3,3,0,Unknown,0.0,0.086957,0.913043,3,2,1,2
50285,6611376,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,5,7,5,10000,5,3,1,Known,0.0,0.12676099999999998,0.591549,2,0,1,0
50451,6628929,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,3,14,14,10000,1,4,0,Unknown,0.007353,0.992647,0.0,2,0,0,2
50462,6629266,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Loss,2,8,8,60000,4,5,0,Unknown,0.0,1.0,0.0,4,0,0,2
50546,6636560,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,8,8,100000,4,3,0,Known,0.0,1.0,0.0,5,0,0,0
50553,6637028,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Won,6,6,5,40000,3,3,0,Known,0.0,0.016128999999999998,0.7258060000000001,3,2,1,0
50575,6639946,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,2,32,32,100000,1,1,0,Unknown,0.0,1.0,0.0,5,2,0,2
50611,6643101,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,2,14,14,10000,1,1,1,Unknown,0.0,1.0,0.0,2,2,0,2
50634,6643594,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,78,Loss,2,20,20,101000,3,4,3,Unknown,1.0,0.0,0.0,5,0,0,2
50661,6646521,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,2,11,11,10000,3,3,0,Known,0.0,1.0,0.0,2,0,0,0
50663,6646539,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,3,13,13,56000,5,4,0,Unknown,1.0,0.0,0.0,4,0,0,2
50679,6649412,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,2,32,32,40000,4,3,0,Unknown,0.0,1.0,0.0,3,2,0,2
50680,6649446,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Loss,2,32,32,40000,2,2,0,Unknown,0.0,1.0,0.0,3,2,0,2
50826,6665256,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,91,Won,2,6,6,6000,1,1,1,Unknown,0.0,1.0,0.0,1,2,1,2
50860,6666368,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,88,Loss,3,9,9,150000,1,1,0,None,0.0,0.091954,0.908046,5,0,0,1
50908,6670636,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,82,Loss,2,15,15,100000,3,4,0,Unknown,1.0,0.0,0.0,5,0,0,2
50938,6673835,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,25,Loss,5,72,72,200000,3,5,0,Unknown,0.047354,0.169916,0.78273,5,0,0,2
50976,6677064,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Loss,2,6,6,30000,1,5,0,Unknown,0.0,1.0,0.0,3,0,0,2
50994,6679581,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,89,Won,4,5,2,28000,1,1,2,Known,0.0,0.0,0.511111,3,0,1,0
51081,6686677,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,93,Won,3,3,3,178000,2,1,0,Unknown,0.0,0.035714,0.964286,5,2,1,2
51127,6687670,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,4,32,32,35000,1,1,0,Known,0.060317,0.939683,0.0,3,2,0,0
51164,6693680,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,3,3,3,5000,2,1,0,Unknown,0.0,0.0,1.0,1,0,1,2
51183,6694108,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Won,3,6,6,250000,3,2,0,Unknown,0.0,0.054545,0.945455,6,2,1,2
51312,6705153,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,76,Loss,5,20,20,300000,5,1,3,Known,0.107692,0.328205,0.564103,6,0,0,0
51365,6708751,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,6,23,23,25000,3,1,0,Unknown,0.0,0.149573,0.850427,3,2,0,2
51407,6711262,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Loss,2,5,5,20000,4,5,0,None,0.0,1.0,0.0,2,0,0,1
51408,6711269,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,88,Loss,4,5,5,35000,1,5,0,Known,0.0,0.0,1.0,3,0,0,0
51443,6713909,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Won,4,3,3,6300,4,4,0,Unknown,0.0,0.967742,0.0,1,0,1,2
51566,6725685,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Won,5,2,1,30000,1,1,0,Unknown,0.0,0.277778,0.055556,3,0,1,2
51610,6728983,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,3,16,16,70000,3,3,0,Unknown,0.386076,0.613924,0.0,4,0,0,2
51680,6735986,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,85,Loss,4,2,2,50000,1,2,0,Unknown,0.0,0.0,1.0,4,2,0,2
51702,6736633,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,2,9,9,55000,1,1,0,Known,1.0,0.0,0.0,4,0,0,0
51783,6744965,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,92,Won,2,2,2,40000,1,5,2,Unknown,0.0,1.0,0.0,3,2,1,2
51799,6745282,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,71,Loss,2,23,23,100000,1,1,0,Unknown,0.0,1.0,0.0,5,2,0,2
51855,6751960,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,2,9,9,1000,1,3,0,Unknown,1.0,0.0,0.0,1,0,0,2
51909,6759291,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,81,Loss,2,12,12,10000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
51970,6763284,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,88,Won,3,1,1,20000,1,1,2,Unknown,1.0,0.0,0.0,2,0,1,2
51978,6763537,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,3,2,0,Unknown,0.0,1.0,0.0,2,2,0,2
